tagalog,english
ang sarap,delicious
kamusta,hello
kamusta ka,how are you
salamat,thank you
opo,yes
hindi,no
mabuti naman,i'm fine
bakit,why
sino,who
saan,where
kailan,when
masaya,happy
mahal kita,i love you
masakit,hurt
ulo,head
masama,bad
magaling,very good
lalake,boy
babae,girl
tatay,father
nanay,mother
lolo,grandfather
lola,grandmother
ikaw,you
ako, I or me
our,tayo
tulong,help
iyak,cry
usap,talk
sasakyan,vehicle
salita,word
takot,afraid
galit,mad
siya,he or she
sila,them
kalahati,half
buo,whole
siguro,maybe
sigurado,sure
ilong,nose
mata,eyes
kaarawan,birthday
maingay,noisy
tahimik,quiet
basa,read
sulat,write
tama,right
mali,wrong
kanan kamay,right hand
kaliwa kamay,left hand
kamay,hand
daliri,fingers
bigas,rice
gutom,hungry
ngayon,today
wala,nothing
laro,play
kanta,sing
lagi,always
huwag,do not
mainit,hot
malamig,cold
malungkot,sad
maganda,pretty
pangit,ugly
taba,fat 
buntis,pregnant
binti,leg 
takbo,run
lakad,walk
kain,eat
inom,drink
gusto,like
kelangan,need
isa,one
dalawa,two
tatlo,three
apat,four
lima,five
anim,six
pito,seven
walo,eight
siyam,nine
sampu,ten
buhok,hair
isda,fish
gamitin,use it
apoy,fire
libro,book
papel,paper
ayusin,fix it
malinis,clean
marumi,dirty
ninang,godmother
ninong,godfather
manood,watch
gripo,faucet
matigas,hard
charlette,maingay
malambot,soft
makinis,smooth
magaspang,rough
malaki,big
maliit,small
singsing,ring
hikaw,earing
maalat,salty
matamis,sweet
maasim,sour
tubig,water
plato,plate
baso,glass
have,meron
had,nagkaron
problema,problem
totoo,real
